title,authors,description,category,averageRating,ratingsCount,thumbnail
Cover Her Face,P. D. James,"Headstrong and beautiful, the young housemaid Sally Jupp is put rudely in her place, strangled in her bed behind a bolted door. Coolly brilliant policeman Adam Dalgliesh of Scotland Yard must find her killer among a houseful of suspects, most of whom had very good reason to wish her ill. Cover Her Face is P. D. James's electric debut novel, an ingeniously plotted mystery that immediately placed her among the masters of suspense.",Fiction,,,http://books.google.com/books/content?id=i40gAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Missing Joseph,Elizabeth George,"When the vicar who has given her so much support is found dead, Deborah St. James begins a journey of personal discovery in order to find out who is responsible",Fiction,4,1,http://books.google.com/books/content?id=c28NO1HynT0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Runaway Jury,John Grisham,The jury in a Mississippi tobacco trial appears to be manipulated and controlled.,Fiction,3,27,http://books.google.com/books/content?id=KA4hwzlnclsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Contest,Matthew Reilly,"From the ""New York Times"" bestselling author of ""Scarecrow"" comes an action-packed novel about a doctor and his daughter trapped in New York's Public Library by a contest with a fatal outcome. Martin's Press.",Fiction,4.5,3,http://books.google.com/books/content?id=fVXhWW7ZRkwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"""A"" is for Alibi",Sue Grafton,A woman wrongly convicted of murdering her husband hires private detective Kinsey Millhone to find the real killer.,Fiction,,,http://books.google.com/books/content?id=EqYXZLeFvocC&printsec=frontcover&img=1&zoom=1&source=gbs_api
From Doon with Death,Ruth Rendell,"'Love and death' said Chief Inspector Wexford. 'Those were the only two sensational things that ever happened to Margaret Parsons, love and death. The thing is they both happened in my district.' The police knew all about Margaret Parsons' life and by the look of it, it was very dull. She had been a 'good' woman. Religious, old-fashioned and respectable, her life had been as spotless and ordinary as her home, as unexciting and dependable as her marriage. But it was not Margaret Parsons' life that interested Wexford. It was her death. She had been a predictable, ordinary woman - but now she had met a death of passion and violence for which there seemed neither motive nor clue.",Detective and mystery stories,,,http://books.google.com/books/content?id=sJ93PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Mr. Parker Pyne, Detective",Agatha Christie,"Short stories about an assortment of people who respond to an ad in the paper worded: Are you happy? If not, consult Mr. Parker Pyne, 17 Richmond Street.",Detective and mystery stories,,,http://books.google.com/books/content?id=KGfc6lEu170C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Black Opal,"Eleanor Burford Hibbert, Victoria Holt","Abandoned as a baby, her exotic beauty prompted hushed whispers of gypsy blood. But lovely Carmel March remained shrouded in mystery.... When tragedy struck her adopted home of Commonwood House, little Carmel had been bundled off to Australia. Returning to England as a young woman, she became haunted by questions from her past, as well as the shocking revelation that she had been rushed from a murder scene those many years ago. Yet she was convinced that the wrong man had been sentenced for the crime. Was the answer locked away in her childhood memory--or in the dark, secretive behavior of her old childhood friend, Lucian? And what fateful role did the opals--always present at crucial moments of her life--play? For only when she released the dark secrets imprisoned at Commonwood would she find the freedom to love.... ""Victoria Holt's mysteries are among the best."" --Minneapolis Star & Tribune ""The prolific Miss Holt--.combines suspense and romance with the master's touch."" --Boston Herald",Fiction,,,http://books.google.com/books/content?id=Jb5pX5xMyQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Ten Little Indians,Agatha Christie,Previously published as: Ten little Indians.,Fiction,,,
The Girl with the Dragon Tattoo,"Stieg Larsson, Reg Keeland (translator.)","Forty years ago, Harriet Vanger disappeared off the secluded island owned and inhabited by the powerful Vanger family. Harriet's uncle, Henrik, is convinced that she was murdered by someone in her own family - the deeply dysfunctional Vanger clan. A sinister family saga, a mystery of massive financial fraud and a haunting love story.",Computer hackers,3,3,http://books.google.com/books/content?id=ix-8QwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Messenger,Markus Zusak,"""The Messenger is comedic, romantic, thrilling, confronting, playful, deceptive... While it shares qualities with Nick Hornby's How to Be Good and Iain Softley's film K-Pax, it is cleverer, subtler and more profound than either and, as a bonus, determinedly Australian."" (Australian Book Review)Meet Ed Kennedy - cab driving prodigy, pathetic card player and useless at sex. He lives in a suburban shack, shares coffee with his dog, the Doorman, and he's in nervous love with Audrey. His life is one of peaceful routine and incompetence - until he inadvertently stops a bank robbery. That's when the first Ace turns up. That's when Ed becomes the messenger. Chosen to care, he makes his way through town, helping and hurting (where necessary) until only one question remains. Who's behind Ed's mission? The Messenger, by the highly acclaimed author Markus Zusak, is a cryptic journey filled with laughter, fists and love.",Fiction,5,1,http://books.google.com/books/content?id=2IEEZ76GXkkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Mysterious Mr Quin,Agatha Christie,"Prompted by Mr. Quin's strange influence Mr. Saterthwaite begins unravelling mysteries that seem insoluble. Stories include: The Coming of Mr. Quin; The Shadow on the Glass; At the 'Bells and Motley'; The Sign in the Sky; The Soul of the Croupier; The Man from the Sea, and many more.",Fiction,,,http://books.google.com/books/content?id=-zKag9WRFnUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Why Didn't They Ask Evans?,Agatha Christie,"While playing an erratic round of golf, Bobby Jones slices his ball over the edge of a cliff. On the rocks below he finds a crumpled body of a dying man. With his final breath the man says, Why didn't they ask Evans? Haunted by these words, Bobby sets out to solve the mystery.",Detective and mystery stories,,,http://books.google.com/books/content?id=OtNovwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
George's Secret Key to the Universe,"Lucy Hawking, Stephen Hawking, Christophe Galfard","George and his new friends, Annie and her dad Eric, travel around the universe with the help of Eric's supercomputer Cosmos. But someone steals Cosmos and it is up to George to save Cosmos and Eric, who has fallen into a black hole. Includes scientific facts and photos about space. Suggested level: primary, intemediate.",Adventure and adventurers,,,http://books.google.com/books/content?id=hRCUccf7ZzQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Cat Among the Pigeons,Agatha Christie,"Another term has begun at Meadowbank, a prestigious, well-respected British girls' school. The indomitable headmistress is preparing to retire and name her successor. There is a disconcertingly mature Middle Eastern princess among the students and several new staff members in residence. And a brand-new sports pavilion is the pride of the campus.",Boarding schools,,,http://books.google.com/books/content?id=ap7CQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Redeemer,Jo Nesbø,"As Christmas approaches, Detective Harry Hole investigates the murder of a Salvation Army singer, who turns out to have been shot by mistake.",Fiction,,,http://books.google.com/books/content?id=6f9ptI-MU3sC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Angels and Demons,Dan Brown,"The murder of a world-famous physicist raises fears that the Illuminati are operating again after centuries of silence, and religion professor Robert Langdon is called in to assist with the case.",Anti-Catholicism,,,http://books.google.com/books/content?id=4N_vmQGYwyAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Secret of Father Brown,Gilbert Keith Chesterton,"These are just some of the problems for Father Brown to solve. In his inimitable way, this gentle, eccentric little cleric-detective sets about unravelling the threads of a colourful skein of mysteries. In the course of the investigations Father Brown travels all over the world.",Fiction,,,http://books.google.com/books/content?id=nGtaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Big Four,Agatha Christie,"Framed in the doorway of Poirot's bedroom stands an uninvited guest, coated from head to foot in dust. The gaunt man's face stares for a moment then sways and falls. Who is he and what is the significance of the figure four scribbled repeatedly on a piece of paper?",Detective and mystery stories,5,1,http://books.google.com/books/content?id=lVT8HAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
By the Pricking of My Thumbs,Agatha Christie,"When Tommy and Tuppence Beresford visit an elderly aunt in Sunny Ridge, her gothic nursing home, they think nothing of her mistrust of the doctors. After all, Ada is a very old lady -- and very difficult.","Beresford, Tommy (Fictitious character)",,,http://books.google.com/books/content?id=zw97kgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Pale Horse,"Agatha Christie, Hugh Fraser","The Pale Horse is a converted Tudor inn in an English village, inhabited by the local witch and an inane medium. Mark Easterbrook thinks them harmless fools until he learns about the gang that specialises in the removal of rich, unwanted relatives.",Detective and mystery stories,,,http://books.google.com/books/content?id=8ObymwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
